"Date","OUT","EXPORTS","SJR","GCD","SAC","CVP","SWP","X2"
1996-10-01,4722,10950,2110,2115,14900,4122,6581,82.62
1996-10-02,4230,11237,2120,2071,14700,4374,6608,82.84
1996-10-03,4486,11155,2160,2026,14800,4252,6651,83.02
1996-10-04,4201,11118,2140,1988,14500,4259,6611,83.22
1996-10-05,5087,10494,2140,1959,14700,4252,6016,83.3
1996-10-06,5012,10333,2130,1966,14500,4247,5866,83.37
1996-10-07,4057,10643,2140,1918,13800,4154,6267,83.58
1996-10-08,4030,10316,2080,1912,13500,3426,6665,83.78
1996-10-09,2578,11254,2000,1925,13100,4366,6668,84.26
1996-10-10,3614,10534,1930,1858,13400,4319,5995,84.5
1996-10-11,4137,10014,2030,1857,13300,4313,5499,84.63
1996-10-12,4582,9146,2330,1873,12600,4243,4702,84.69
1996-10-13,5568,9137,3090,1867,12800,4243,4694,84.63
1996-10-14,3964,10361,3380,1835,12100,4292,5881,84.78
1996-10-15,3936,9892,3490,1841,11500,4319,5393,84.93
1996-10-16,3855,9991,3500,1842,11500,4275,5522,85.09
1996-10-17,3430,10230,3500,1832,11300,4289,5742,85.31
1996-10-18,3269,9993,3460,1764,10900,4308,5490,85.55
1996-10-19,4319,9585,3210,1782,11800,4216,5180,85.6
1996-10-20,4245,9562,3170,1765,11700,4180,5197,85.66
1996-10-21,4529,8932,3130,1789,11400,4258,4485,85.67
1996-10-22,3676,9677,2920,1782,11500,4169,5296,85.82
1996-10-23,4920,8269,2840,1736,11400,4225,3835,85.77
1996-10-24,3619,9569,2850,1736,11400,4235,5128,85.92
1996-10-25,4138,9716,2970,1700,12000,4242,5272,85.98
1996-10-26,5451,8985,3010,1715,12600,4262,4530,85.85
1996-10-27,4353,8777,2830,1720,11500,4405,4165,85.88
1996-10-28,3722,8830,2620,1733,11200,4257,4455,86
1996-10-29,3491,9756,2570,1685,11900,4185,5397,86.17
1996-10-30,12195,9158,2740,1693,13000,3086,5904,85.51
1996-10-31,14422,9759,2820,1697,14100,4319,5256,84.78
1996-11-01,15223,9499,2810,1700,14600,4210,5101,84.06
1996-11-02,13487,10502,2810,1700,13900,4233,6067,83.46
1996-11-03,13714,10410,2750,1700,14200,4206,5998,82.87
1996-11-04,7600,9894,2630,1700,14200,4195,5502,82.71
1996-11-05,5512,9798,2550,1700,13800,4183,5429,82.75
1996-11-06,5455,9269,2500,1700,13400,4196,4895,82.81
1996-11-07,4538,9881,2400,1700,13200,4182,5520,82.97
1996-11-08,3949,10374,2370,1650,13100,4197,5994,83.22
1996-11-09,3946,10158,2310,1700,13000,4197,5800,83.46
1996-11-10,4189,9833,2260,1650,12900,4186,5485,83.64
1996-11-11,4258,9653,2240,1650,12800,4195,5294,83.8
1996-11-12,4240,9917,2190,1650,13100,4180,5566,83.96
1996-11-13,5270,8922,2240,1650,13100,3267,5487,83.97
1996-11-14,3953,10287,2490,1650,12900,4298,5827,84.16
1996-11-15,4340,9810,2540,1700,12800,4262,5382,84.28
1996-11-16,5155,9343,2480,1700,13200,4224,4970,84.29
1996-11-17,8441,9308,2580,1700,13500,4155,5001,83.97
1996-11-18,15400,10370,2750,1700,14600,4136,6088,83.29
1996-11-19,16859,9508,2730,1700,15400,4173,5189,82.58
1996-11-20,17805,10304,2600,1750,16800,4171,5992,81.88
1996-11-21,17434,10820,2420,1750,17200,4172,6504,81.23
1996-11-22,18495,10818,2530,1750,18800,4159,6509,80.58
1996-11-23,16704,10786,2960,1750,20600,4148,6502,80.03
1996-11-24,16004,10760,3300,1750,20900,4123,6494,79.53
1996-11-25,15756,10712,3450,1800,21600,4139,6424,79.08
1996-11-26,14714,10021,3500,1800,20000,3388,6499,78.69
1996-11-27,10938,10841,3450,1850,18700,4306,6392,78.52
1996-11-28,9531,10696,3330,1900,17800,4081,6478,78.44
1996-11-29,9434,10626,3190,1900,17800,4076,6410,78.38
1996-11-30,8719,10457,3090,1950,17100,4080,6240,78.37
1996-12-01,7040,10692,3030,2000,15800,4060,6495,78.49
1996-12-02,8676,9082,2980,2000,15400,4098,4856,78.48
1996-12-03,8076,9431,2950,2000,14900,4073,5239,78.51
1996-12-04,10937,8368,3180,2050,16500,4093,4160,78.35
1996-12-05,20624,9717,4190,2100,21200,4101,5492,77.79
1996-12-06,39985,10723,5190,2100,39500,4102,6483,76.82
1996-12-07,42122,10860,6580,2150,41800,4104,6628,75.88
1996-12-08,41194,10822,7570,2150,40700,4128,6570,75.01
1996-12-09,39727,10752,8090,2150,38700,4134,6493,74.2
1996-12-10,48869,10613,8520,2200,42000,3912,6583,73.31
1996-12-11,63881,8196,9460,2200,50200,4139,3928,72.29
1996-12-12,79498,10039,11300,2200,59600,4195,5723,71.19
1996-12-13,102962,10584,11700,2200,80000,4137,6331,69.98
1996-12-14,127545,9397,12400,2200,82500,4109,5165,68.7
1996-12-15,125300,10901,12800,2200,80100,4101,6677,67.5
1996-12-16,115048,9727,13200,2200,78200,4130,5483,66.42
1996-12-17,109357,6298,13700,2200,75400,4071,2166,65.44
1996-12-18,96515,4762,14100,2150,72400,3838,893,64.58
1996-12-19,86884,5125,14300,2150,69600,4245,806,63.85
1996-12-20,81038,4652,14400,2150,66600,4109,394,63.2
1996-12-21,84202,6242,14600,2100,63900,3947,2167,62.56
1996-12-22,95407,7341,15500,2100,64400,4129,3077,61.87
1996-12-23,110127,5506,18100,2050,67500,4115,1255,61.13
1996-12-24,108874,6324,18700,2050,65800,4099,2099,60.44
1996-12-25,104967,5397,18100,2000,62100,4087,1191,59.81
1996-12-26,100975,5158,18100,2000,58000,4094,940,59.24
1996-12-27,105001,4988,18400,1950,66500,4112,751,58.67
1996-12-28,110175,5739,17700,1950,81900,4104,1517,58.11
1996-12-29,139275,4734,18500,1900,89400,4051,569,57.42
1996-12-30,177331,4738,19900,1850,94000,3869,759,56.62
1996-12-31,225094,4223,20700,1800,96400,4114,0,55.71
1997-01-01,314657,4643,21100,1700,94900,3882,686,54.63
1997-01-02,557208,4333,21800,1650,106000,3869,374,53.24
1997-01-03,567086,5828,24700,1600,113000,3921,1815,51.92
1997-01-04,560341,3993,44900,1550,103000,3908,0,50.67
1997-01-05,482525,3858,54300,1500,98300,3761,0,49.59
1997-01-06,388826,3860,41400,1450,93700,3762,0,48.71
1997-01-07,344379,3852,37900,1450,86800,3761,0,47.96
1997-01-08,299653,4011,33700,1450,84300,3916,0,47.34
1997-01-09,263041,3871,32700,1350,84300,3774,0,46.84
1997-01-10,239378,3862,31700,1300,84500,3766,0,46.42
1997-01-11,214141,5259,29800,1300,83800,3756,1415,46.1
1997-01-12,185397,7411,28100,1250,81400,3748,3586,45.89
1997-01-13,171004,4272,26700,1250,80800,2615,1567,45.75
1997-01-14,163045,3698,25600,1200,80900,3601,0,45.64
1997-01-15,155093,3736,25400,1200,79100,3641,0,45.57
1997-01-16,150121,3180,25700,1150,76400,3083,0,45.53
1997-01-17,144306,2394,25900,1150,73800,2289,0,45.51
1997-01-18,137141,1425,25900,1100,71500,1331,0,45.53
1997-01-19,133123,395,26100,1100,70100,298,0,45.57
1997-01-20,129274,99,26400,1100,69400,0,0,45.62
1997-01-21,127496,97,26700,1050,69100,0,0,45.68
1997-01-22,139954,2614,26700,1050,76500,0,2514,45.67
1997-01-23,212323,1142,26900,1000,93100,0,1033,45.4
1997-01-24,223700,652,28000,1000,92600,0,551,45.11
1997-01-25,240309,91,29000,1000,93500,0,0,44.79
1997-01-26,281165,89,30000,1000,97500,0,0,44.38
1997-01-27,283009,90,31500,950,96800,0,0,43.99
1997-01-28,267676,1324,32600,950,95100,0,1236,43.66
1997-01-29,269037,1471,33300,950,94600,0,1398,43.35
1997-01-30,254386,2319,33600,950,90400,0,2264,43.08
1997-01-31,237512,1140,33600,900,85200,0,1075,42.88
1997-02-01,216492,1211,33600,900,81900,0,1128,42.75
1997-02-02,200509,2449,33800,900,79400,0,2368,42.67
1997-02-03,189512,1486,34100,900,78300,0,1405,42.64
1997-02-04,179082,1313,34500,900,78200,0,1227,42.64
1997-02-05,170382,1254,35600,900,77300,0,1173,42.68
1997-02-06,163282,1258,37600,900,76600,0,1177,42.74
1997-02-07,158303,1250,39700,900,75500,0,1168,42.82
1997-02-08,152272,3203,40800,900,74200,2556,559,42.92
1997-02-09,144165,4985,41000,900,72000,3778,1117,43.04
1997-02-10,140022,2883,40500,850,70300,1091,1693,43.18
1997-02-11,134540,1796,39900,850,68700,0,1694,43.34
1997-02-12,125534,1789,38600,850,67200,0,1701,43.54
1997-02-13,112745,2632,35300,850,65400,0,2540,43.79
1997-02-14,105214,2659,32600,850,62900,0,2568,44.07
1997-02-15,99171,3053,31500,850,59100,0,2960,44.38
1997-02-16,93007,2866,30900,850,53900,0,2774,44.71
1997-02-17,87165,2958,30700,850,48500,0,2868,45.07
1997-02-18,82272,3229,30800,850,43600,0,3137,45.44
1997-02-19,79757,3101,31600,850,40800,0,2993,45.81
1997-02-20,79927,3016,33700,850,39000,0,2916,46.16
1997-02-21,77917,4388,35300,900,37500,0,4291,46.51
1997-02-22,82076,1380,35400,900,37200,0,1284,46.8
1997-02-23,81143,723,35400,900,36800,0,620,47.09
1997-02-24,77552,235,35100,900,35800,0,132,47.39
1997-02-25,74813,871,34700,900,34800,616,156,47.69
1997-02-26,74711,1677,33800,900,36700,892,680,47.98
1997-02-27,71546,3807,32900,893,36900,2940,768,48.29
1997-02-28,69814,4507,32200,900,36700,3720,688,48.59
1997-03-01,69138,4367,31300,950,37200,3716,548,48.88
1997-03-02,70831,4738,29900,993,36400,3716,914,49.14
1997-03-03,68613,5517,28500,993,35600,4321,1092,49.4
1997-03-04,65130,3897,27400,986,34300,3819,0,49.69
1997-03-05,60947,4361,26300,1029,32500,4235,0,50
1997-03-06,55345,4396,24300,1031,30200,3715,532,50.36
1997-03-07,48061,6765,22000,1029,27600,4142,2452,50.79
1997-03-08,42928,7261,20000,1100,25300,4138,2953,51.26
1997-03-09,38970,7599,18400,1081,24200,4221,3216,51.78
1997-03-10,37635,6674,16800,1093,23700,4309,2220,52.29
1997-03-11,34672,7228,15300,1128,23000,4392,2705,52.82
1997-03-12,31478,7310,13500,1150,22400,4360,2805,53.39
1997-03-13,28448,7986,11700,1187,22000,4348,3488,53.99
1997-03-14,26417,8105,10200,1237,21500,4431,3531,54.6
1997-03-15,23957,8276,9170,1237,20500,4555,3570,55.25
1997-03-16,23087,8029,8420,1287,20300,4454,3430,55.88
1997-03-17,23766,7384,8050,1285,20800,4411,2805,56.46
1997-03-18,23604,8355,7740,1305,21900,4409,3789,57.01
1997-03-19,25945,8250,7390,1315,24800,4486,3587,57.47
1997-03-20,26386,7748,7000,1348,25200,4540,3038,57.9
1997-03-21,24362,7652,6840,1406,23300,4545,2944,58.35
1997-03-22,23619,7413,6590,1460,22300,4539,2714,58.8
1997-03-23,21651,8047,6410,1500,21900,4548,3336,59.28
1997-03-24,21770,7556,6140,1505,21700,4555,2861,59.73
1997-03-25,21488,6970,5740,1515,21200,4551,2291,60.16
1997-03-26,21032,6507,5410,1581,20700,4551,1824,60.58
1997-03-27,20542,6767,5020,1571,20700,4552,2075,61
1997-03-28,19604,7762,4780,1612,21000,4538,3063,61.42
1997-03-29,17783,7955,4590,1631,19600,4527,3268,61.88
1997-03-30,13894,10154,4590,1610,18300,4532,5455,62.48
1997-03-31,15918,8103,4590,1669,18400,4532,3405,62.95
1997-04-01,17053,6263,4270,1710,18100,4532,1562,63.36
1997-04-02,16291,6363,4010,1703,17700,4515,1687,63.77
1997-04-03,15453,6826,3980,1713,17400,4520,2149,64.19
1997-04-04,15456,6055,3830,1765,16900,4526,1352,64.59
1997-04-05,13059,7548,3740,1749,16200,4524,2839,65.08
1997-04-06,10672,8647,3670,1761,15000,4322,4138,65.67
1997-04-07,11025,7886,3550,1749,14700,4521,3179,66.21
1997-04-08,10153,7334,3410,1795,13600,4515,2629,66.77
1997-04-09,9429,7876,3340,1783,13600,4541,3132,67.35
1997-04-10,9158,7555,3290,1786,13100,4509,2849,67.91
1997-04-11,10346,6610,3330,1744,13200,4505,1906,68.37
1997-04-12,8474,8210,3290,1774,13000,4497,3507,68.93
1997-04-13,8677,7653,3250,1824,12900,4499,2951,69.44
1997-04-14,9603,6556,3510,1835,12600,4420,1961,69.86
1997-04-15,13537,2394,3820,1823,12000,1782,393,70.03
1997-04-16,13013,2563,4010,1808,11500,752,1600,70.22
1997-04-17,13622,2579,5000,1809,11200,753,1602,70.37
1997-04-18,13849,2561,5590,1804,10800,756,1570,70.5
1997-04-19,16574,2558,5990,1804,10800,921,1400,70.51
1997-04-20,17677,2586,5980,1824,11200,990,1366,70.48
1997-04-21,19140,2587,5930,1824,12900,1486,877,70.39
1997-04-22,20869,2571,5790,1785,14800,1694,650,70.26
1997-04-23,21359,2565,6080,1819,14900,1697,640,70.12
1997-04-24,19611,2560,6350,1893,15000,1703,631,70.04
1997-04-25,17617,2586,6260,1906,14000,1190,1154,70.03
1997-04-26,17105,2472,6150,1900,13500,985,1237,70.04
1997-04-27,15325,2595,6140,1907,11900,986,1354,70.13
1997-04-28,14269,2532,6160,1969,10800,980,1306,70.25
1997-04-29,14187,2640,6110,1918,10900,990,1385,70.38
1997-04-30,13783,2515,6020,1953,10600,983,1282,70.51
1997-05-01,14130,2578,5940,1938,11100,983,1325,70.62
1997-05-02,13403,2608,5780,1931,10600,990,1357,70.76
1997-05-03,13049,2581,5630,1974,10400,986,1334,70.91
1997-05-04,12880,2539,5540,2100,10400,987,1292,71.06
1997-05-05,13071,2601,5930,2030,10200,989,1350,71.19
1997-05-06,13013,2657,6110,2024,10000,970,1411,71.31
1997-05-07,12268,2670,5990,2088,9400,936,1457,71.47
1997-05-08,12235,2834,6000,2071,9480,1023,1587,71.62
1997-05-09,12515,2549,5940,2126,9600,970,1336,71.75
1997-05-10,12233,2709,5990,2150,9470,1776,656,71.89
1997-05-11,12728,2678,6250,2174,9750,1766,630,71.99
1997-05-12,12809,2710,6240,2255,9960,1759,666,72.08
1997-05-13,12808,2738,5860,2156,10300,1210,1252,72.17
1997-05-14,14339,2563,5680,2296,11000,842,1437,72.18
1997-05-15,13829,2597,5270,2267,10900,767,1570,72.21
1997-05-16,13308,2639,4860,2309,10800,920,1423,72.27
1997-05-17,12538,2494,4410,2359,10400,977,1213,72.36
1997-05-18,9151,3562,4120,2359,9360,981,2256,72.65
1997-05-19,11742,1192,3980,2395,9750,895,0,72.76
1997-05-20,11906,1058,3810,2402,10000,722,0,72.86
1997-05-21,12148,1132,3660,2384,10400,816,0,72.94
1997-05-22,11810,1957,3640,2452,11000,979,635,73.03
1997-05-23,13217,1894,3690,2541,12400,1017,605,73.05
1997-05-24,14684,2359,3790,2599,12900,1020,1074,72.99
1997-05-25,12653,5103,3610,2649,13900,2346,2500,73.04
1997-05-26,12696,6123,3590,2649,15100,3958,1894,73.08
1997-05-27,12178,6875,3440,2715,15600,4418,2202,73.14
1997-05-28,11482,7198,3340,2790,15400,4494,2447,73.24
1997-05-29,9878,7296,3430,2795,15200,4513,2499,73.44
1997-05-30,9172,7281,3430,2850,14600,4513,2480,73.66
1997-05-31,8969,7047,3380,2975,14300,4561,2198,73.89
1997-06-01,8211,6810,3270,3025,13500,4503,1999,74.17
1997-06-02,7843,6653,3190,3017,13000,4543,1795,74.46
1997-06-03,7866,6628,3200,3058,13000,4534,1797,74.73
1997-06-04,9082,6298,3230,3075,13400,4525,1508,74.9
1997-06-05,8742,6692,3270,3185,13200,4527,1903,75.07
1997-06-06,9323,6780,3280,3160,13900,4528,1983,75.2
1997-06-07,10575,5653,3200,3300,14300,4527,828,75.24
1997-06-08,9515,5704,2990,3309,13500,4525,881,75.35
1997-06-09,8622,5730,2920,3309,13200,4531,907,75.51
1997-06-10,7910,5692,2680,3395,13000,4502,893,75.72
1997-06-11,7944,5659,2510,3422,13200,4497,886,75.92
1997-06-12,7327,6762,2490,3442,13700,4506,1991,76.16
1997-06-13,8141,7027,2480,3499,14800,4460,2299,76.31
1997-06-14,8140,6937,2540,3534,14700,4396,2263,76.46
1997-06-15,8274,7705,2670,3599,15500,4417,3000,76.59
1997-06-16,9578,7635,2730,3730,16800,4339,2998,76.62
1997-06-17,9172,8551,2550,3764,17500,4321,3935,76.67
1997-06-18,8879,9125,2490,3810,17900,4317,4499,76.74
1997-06-19,7626,9248,2430,3850,16900,4296,4632,76.91
1997-06-20,7481,8720,2380,3894,16300,4363,4043,77.08
1997-06-21,7173,8389,2350,3944,15700,4423,3688,77.26
1997-06-22,7447,8231,2410,3999,15800,4426,3493,77.42
1997-06-23,7180,8120,2440,4026,15400,4404,3498,77.59
1997-06-24,6705,8024,2310,4061,15100,4397,3426,77.79
1997-06-25,7377,8019,2260,4052,15800,4387,3433,77.92
1997-06-26,7873,8202,2190,4126,16600,4381,3489,78
1997-06-27,8214,7752,2260,4164,16500,4432,2999,78.05
1997-06-28,8180,8123,2200,4159,16900,4415,3395,78.1
1997-06-29,8882,8503,2230,4209,18000,4384,3797,78.09
1997-06-30,9918,9097,2260,4198,19600,4387,4397,78.01
1997-07-01,9191,10235,2200,4157,20100,4441,5480,77.99
1997-07-02,8460,10923,2090,4191,20300,4460,6120,78.02
1997-07-03,8135,11010,1990,4237,20300,4525,6144,78.07
1997-07-04,8210,10951,1900,4237,20400,4483,6131,78.12
1997-07-05,8096,11242,1850,4287,20700,4473,6457,78.17
1997-07-06,8397,10755,1870,4287,20500,4421,6018,78.2
1997-07-07,8290,10608,1900,4322,20200,4282,5998,78.23
1997-07-08,8408,10069,1800,4326,19900,4225,5497,78.25
1997-07-09,9922,8418,1790,4287,19700,4235,3828,78.16
1997-07-10,11351,7218,1710,4282,20000,4245,2619,77.99
1997-07-11,11352,7506,1660,4275,20300,4449,2705,77.84
1997-07-12,11780,7437,1700,4279,20700,4456,2694,77.66
1997-07-13,10930,8423,1750,4294,20800,4685,3403,77.54
1997-07-14,12648,6868,1770,4350,21000,4118,2418,77.34
1997-07-15,10865,8680,1680,4307,21100,4293,4057,77.24
1997-07-16,10046,9306,1670,4306,20900,4281,4681,77.2
1997-07-17,10078,9312,1690,4295,20900,4284,4693,77.17
1997-07-18,9560,10077,1600,4276,21200,4464,5286,77.16
1997-07-19,8743,10804,1560,4307,21200,4358,6100,77.22
1997-07-20,8721,10939,1620,4229,21200,4388,6200,77.27
1997-07-21,9110,10922,1660,4229,21500,4397,6196,77.29
1997-07-22,9490,10427,1640,4282,21500,4401,5687,77.29
1997-07-23,9367,10944,1600,4251,21900,4394,6220,77.29
1997-07-24,9935,10265,1680,4263,21700,4392,5537,77.26
1997-07-25,8945,11263,1680,4230,21700,4437,6501,77.29
1997-07-26,8749,11053,1670,4224,21300,4390,6329,77.34
1997-07-27,8703,11136,1710,4229,21300,4401,6400,77.39
1997-07-28,8788,11207,1840,4188,21300,4517,6408,77.43
1997-07-29,8196,11398,1780,4186,21000,4441,6673,77.51
1997-07-30,7878,11226,1680,4190,20600,4521,6359,77.61
1997-07-31,8532,10841,1690,4134,20800,4428,6082,77.66
1997-08-01,8096,11210,1760,4150,20700,4507,6375,77.73
1997-08-02,8162,11190,1820,4155,20700,4499,6351,77.8
1997-08-03,8285,10885,1780,4105,20500,4475,6093,77.86
1997-08-04,8179,11237,1750,4046,20700,4486,6400,77.92
1997-08-05,7984,11531,1670,3980,20800,4494,6672,77.99
1997-08-06,8048,11665,1660,3967,21000,4495,6787,78.05
1997-08-07,10201,9933,1660,3928,21400,4504,5040,77.96
1997-08-08,9084,10614,1630,3945,21000,4364,5974,77.94
1997-08-09,12358,6865,1620,3899,20500,4548,1971,77.73
1997-08-10,13987,5248,1760,3924,20400,4523,426,77.45
1997-08-11,12966,5105,1870,3883,19100,4535,231,77.24
1997-08-12,12253,5091,1860,3875,18400,4547,222,77.07
1997-08-13,11967,4882,1810,3832,17900,4547,0,76.93
1997-08-14,11410,5228,1820,3786,17600,4467,377,76.82
1997-08-15,9218,6438,1810,3759,16600,4459,1637,76.86
1997-08-16,6659,8649,1840,3709,16200,4454,3882,77.11
1997-08-17,8550,7295,1990,3709,16600,4453,2529,77.18
1997-08-18,8978,7409,2100,3679,17000,4455,2631,77.22
1997-08-19,8228,8086,2070,3625,16900,4433,3316,77.31
1997-08-20,7785,8142,1970,3604,16600,4432,3404,77.43
1997-08-21,7427,8941,2020,3549,16500,4423,4230,77.58
1997-08-22,6825,10098,2060,3548,17000,4409,5417,77.77
1997-08-23,7309,10869,2020,3564,18300,4402,6224,77.9
1997-08-24,7908,11221,2040,3508,19200,4386,6592,77.98
1997-08-25,8699,11190,2110,3477,19900,4312,6625,78
1997-08-26,8960,10557,2020,3396,20000,4431,5923,77.99
1997-08-27,7434,11268,1960,3369,19200,4400,6606,78.1
1997-08-28,7249,10704,1930,3324,18400,3812,6590,78.23
1997-08-29,5839,11342,1880,3264,17600,4404,6638,78.48
1997-08-30,5178,11297,1880,3229,16900,4328,6677,78.81
1997-08-31,5027,11257,1940,3179,16600,4332,6632,79.13
1997-09-01,5093,11200,2020,3124,16500,4293,6627,79.42
1997-09-02,4788,11282,2010,3119,16300,4327,6678,79.74
1997-09-03,4902,11049,1920,3030,16200,4317,6438,80.03
1997-09-04,6965,8876,1870,2997,16100,4351,4227,80.07
1997-09-05,5699,10370,1830,2933,16300,4363,5705,80.24
1997-09-06,4979,11211,1930,2899,16300,4337,6579,80.49
1997-09-07,5255,10946,1980,2849,16200,4361,6320,80.69
1997-09-08,5153,11190,2070,2799,16200,4360,6568,80.9
1997-09-09,4776,11224,2050,2850,15900,4318,6675,81.14
1997-09-10,4897,11254,2050,2789,16000,4345,6674,81.35
1997-09-11,4446,11265,1970,2757,15600,4347,6674,81.61
1997-09-12,3735,11203,2040,2709,14700,4293,6674,81.97
1997-09-13,3215,11258,2020,2659,14200,4343,6679,82.4
1997-09-14,3086,10891,1980,2609,13700,4327,6327,82.84
1997-09-15,2737,10968,2110,2558,13200,4306,6418,83.34
1997-09-16,2605,10047,2150,2536,12100,4311,5479,83.83
1997-09-17,2329,10591,2120,2482,12400,4319,5993,84.37
1997-09-18,3368,10219,1990,2446,13200,4309,5651,84.65
1997-09-19,2994,10291,2070,2398,12800,4326,5710,84.98
1997-09-20,2955,10507,2210,2395,12800,4312,5942,85.31
1997-09-21,3072,10546,2230,2345,12900,4290,5996,85.59
1997-09-22,3093,10579,2250,2318,12900,4324,6000,85.85
1997-09-23,5147,7885,2200,2296,12300,4337,3290,85.77
1997-09-24,5162,7404,2170,2265,11800,4330,2803,85.69
1997-09-25,4826,7317,2160,2174,11300,4330,2716,85.66
1997-09-26,3346,9427,2070,2218,12100,4322,4831,85.87
1997-09-27,2935,10397,2100,2150,12600,4300,5834,86.15
1997-09-28,2388,10502,2170,2150,12100,4303,5916,86.55
1997-09-29,2611,10774,2220,2135,12500,4286,6200,86.87
1997-09-30,2738,10867,2120,2133,12800,4300,6304,87.14
1997-10-01,3987,9469,2040,2104,12900,4303,4891,87.15
1997-10-02,4941,9573,2040,2052,13900,4320,5001,87.03
1997-10-03,4219,10428,2140,2029,13900,4283,5898,87.01
1997-10-04,4325,10626,2230,2005,14100,4226,6156,86.98
1997-10-05,3768,11096,2340,1975,13900,4293,6548,87.04
1997-10-06,3082,10789,2480,1987,12800,4358,6196,87.22
1997-10-07,5053,9628,2450,1932,13600,4109,5293,87.08
1997-10-08,4617,9851,2520,1935,13100,4270,5358,87
1997-10-09,6363,10144,2770,1941,13500,4271,5666,86.72
1997-10-10,5647,10967,2930,1898,13200,4295,6466,86.53
1997-10-11,7321,10213,3370,1895,13700,4208,5810,86.18
1997-10-12,7053,10425,3500,1900,13600,4167,6062,85.88
1997-10-13,6475,10212,3350,1900,13200,4253,5757,85.65
1997-10-14,3500,11203,3250,1820,12600,4321,6674,85.83
1997-10-15,2711,10754,3140,1826,11700,4233,6303,86.16
1997-10-16,3088,9718,3200,1844,11000,4385,5097,86.4
1997-10-17,3872,8847,3320,1841,10800,4331,4292,86.47
1997-10-18,4958,7881,3310,1792,10900,4270,3398,86.38
1997-10-19,4221,8049,3150,1792,10500,4338,3494,86.4
1997-10-20,5011,7450,3140,1795,10700,4245,2995,86.3
1997-10-21,6009,6970,3040,1789,11300,4271,2496,86.1
1997-10-22,6572,6939,2920,1773,11900,4249,2472,85.84
1997-10-23,6155,7179,2780,1742,11800,4279,2690,85.65
1997-10-24,6023,7042,2590,1744,11700,4337,2497,85.48
1997-10-25,4547,7330,2480,1745,10600,4246,2873,85.5
1997-10-26,4206,6937,2360,1745,9980,4297,2416,85.57
1997-10-27,4826,6258,2320,1744,10000,4258,1780,85.54
1997-10-28,4714,6464,2250,1744,10200,4269,1975,85.54
1997-10-29,4908,6490,2190,1655,10400,4341,1931,85.5
1997-10-30,4442,6901,2160,1670,10400,4331,2350,85.54
1997-10-31,3488,7767,2120,1700,10400,4341,3196,85.72
1997-11-01,4016,7516,2110,1700,10700,4254,3045,85.81
1997-11-02,3283,8086,2050,1700,10600,4293,3566,86.02
1997-11-03,3834,7517,2020,1700,10600,4256,3036,86.12
1997-11-04,3776,7986,2050,1700,10700,4341,3411,86.23
1997-11-05,2974,8762,2060,1700,10700,4285,4243,86.48
1997-11-06,4038,8000,2010,1700,11200,4289,3495,86.52
1997-11-07,4033,8431,1960,1700,11700,4311,3890,86.56
1997-11-08,5029,7572,1960,1650,11800,4224,3123,86.45
1997-11-09,4626,7622,1970,1700,11500,4290,3113,86.41
1997-11-10,7897,7769,2000,1650,11400,4265,3295,86.02
1997-11-11,8759,9050,2030,1650,11900,4237,4649,85.59
1997-11-12,8982,8966,2030,1650,11800,4214,4584,85.16
1997-11-13,13214,9214,2010,1650,11700,4225,4832,84.51
1997-11-14,14540,9312,2020,1650,12900,4209,4945,83.83
1997-11-15,14177,8301,1990,1700,13200,4232,3917,83.21
1997-11-16,13633,8350,2020,1700,14300,4205,3996,82.64
1997-11-17,13502,8406,2000,1700,14500,4248,4000,82.12
1997-11-18,7559,10391,2000,1700,14900,4230,5997,81.99
1997-11-19,8999,10182,1990,1700,15900,4201,5813,81.76
1997-11-20,7940,10013,1970,1750,16600,4190,5655,81.63
1997-11-21,7965,10471,1950,1750,17000,4170,6126,81.5
1997-11-22,8520,10615,1900,1750,17700,4180,6276,81.33
1997-11-23,7420,10744,1870,1750,17000,4115,6482,81.26
1997-11-24,7818,10449,1840,1750,16000,4185,6112,81.16
1997-11-25,9651,10850,1830,1800,15300,4073,6617,80.93
1997-11-26,14707,10926,1910,1800,16200,4086,6677,80.45
1997-11-27,19582,10820,2010,1850,20300,3987,6678,79.8
1997-11-28,23636,10859,1960,1900,24900,4085,6624,79.07
1997-11-29,24665,10918,1920,1900,26600,4109,6661,78.35
1997-11-30,21631,10839,1980,1950,24200,4034,6647,77.75
1997-12-01,18182,10917,2060,2000,23700,4084,6673,77.3
1997-12-02,24708,10829,2010,2000,29400,3981,6672,76.68
1997-12-03,22513,11033,2030,2000,27400,4204,6669,76.15
1997-12-04,19200,10460,2100,2050,24000,4050,6256,75.75
1997-12-05,13771,10879,2210,2100,21800,4053,6665,75.59
1997-12-06,13596,10949,2350,2100,20200,4096,6671,75.45
1997-12-07,18203,10811,2330,2150,21000,4061,6600,75.12
1997-12-08,23733,10081,2390,2150,25500,4036,5931,74.64
1997-12-09,28250,10142,2510,2150,29400,4061,5960,74.08
1997-12-10,27758,10604,2520,2200,30700,4084,6407,73.56
1997-12-11,22592,10877,2470,2200,27700,4084,6674,73.2
1997-12-12,14447,10840,2370,2200,24300,4058,6637,73.15
1997-12-13,11510,10926,2320,2200,21500,4108,6677,73.24
1997-12-14,15303,10865,2260,2200,20000,4062,6666,73.15
1997-12-15,15320,11597,2230,2200,20800,4083,7389,73.07
1997-12-16,18192,11643,2150,2200,23800,4136,7383,72.87
