"","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"607",4,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"608",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,6,9,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"701",4,8,6,5,7,8,6,1,4,2,5,5,0,4,4,4,3,4,4,4,4,3,4,4,7,9,9,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"702",4,8,7,2,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"703",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,9,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"704",4,8,7,2,0,0,0,0,0,0,4,6,0,4,4,4,4,4,4,4,4,4,4,4,7,8,9,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"705",4,8,6,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"706",4,8,6,2,0,0,0,0,0,0,4,6,0,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"707",4,8,6,5,7,8,5,1,3,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"708",4,8,5,2,0,0,0,0,0,0,4,6,0,3,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"709",4,8,6,4,4,7,4,0,2,2,5,6,1,4,3,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"710",4,8,2,1,0,0,0,0,0,0,4,4,0,4,3,4,3,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"711",0,1,0,2,1,7,3,0,1,2,5,4,1,0,1,2,3,1,3,3,4,3,4,4,7,8,9,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,10,8
"712",0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,7,8,9,9,8,8,7,4,5,6,7,3,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"713",0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,4,7,8,10,9,8,8,7,5,6,6,7,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"715",0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,4,7,8,10,9,8,8,7,5,6,6,7,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"716",0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,8,10,9,7,8,7,5,5,6,7,4,4,4,4,3,4,4,7,4,4,4,4,4,4,8,8,8,9,9,8
"717",0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,4,7,8,9,9,8,8,7,5,5,6,6,3,4,4,5,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"718",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,8,8,9,8,8
"721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,6,6,0,0
"722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,8,8,9,8,8
"724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,9,6,8,6,2,4,5,7,3,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,8,7,7,6,2,4,4,7,3,4,4,4,3,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4
"736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,8,7,7,6,2,4,4,7,3,4,4,4,2,4,4,4,4,4,2,3,4,4,3,4,4,4,4,4
"794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,8,8,9,8,8
"796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,8,8,9,8,8
"797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,8,8,8,9,8,8
"799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"801",4,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802",4,8,7,5,7,8,6,1,4,2,5,6,1,3,4,4,4,4,4,4,4,4,4,4,7,9,10,9,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"803",4,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"804",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"805",4,8,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806",4,8,6,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,7,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"807",4,8,7,2,0,0,0,0,4,2,5,6,1,4,4,4,4,3,3,4,4,4,4,4,7,8,10,9,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"808",4,8,7,5,7,8,6,1,4,2,5,6,1,3,4,4,4,2,3,4,4,4,4,4,7,8,10,8,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"809",4,8,8,2,0,0,0,0,4,2,5,6,1,4,4,4,4,3,4,4,4,4,4,4,7,8,10,9,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"810",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,3,4,4,4,4,4,4,7,8,10,9,8,8,7,5,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"811",4,8,7,2,0,0,2,1,4,2,5,6,1,0,0,4,3,4,4,3,4,3,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"812",4,8,7,5,7,8,3,0,3,2,5,6,1,4,4,4,3,4,4,3,4,3,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,8
"813",4,8,7,2,0,0,0,0,2,2,5,4,1,0,0,3,3,4,4,3,4,3,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"814",4,8,7,5,7,8,3,0,1,2,5,6,1,4,4,3,3,3,4,3,4,3,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"815",4,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"901",4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"902",4,8,7,7,5,8,2,0,1,1,4,2,0,0,4,3,2,1,1,3,4,3,4,4,7,7,9,9,8,8,7,5,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"903",4,8,6,7,7,8,3,0,1,1,5,4,0,3,4,4,3,1,2,3,4,3,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"904",4,7,7,5,6,8,3,0,1,2,5,6,1,4,3,4,3,1,2,3,4,3,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"905",4,7,7,2,0,0,0,0,0,0,0,0,0,1,4,4,3,1,2,3,4,3,4,4,6,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"906",4,7,7,5,7,8,3,0,1,2,5,6,1,4,3,4,3,1,2,3,4,3,4,4,7,8,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"907",4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"908",4,7,7,5,7,8,3,0,1,1,5,4,0,4,3,4,3,1,2,3,4,3,3,4,7,8,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"909",4,7,7,2,0,1,0,0,0,0,2,5,1,4,3,3,3,1,2,3,4,3,4,4,7,8,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"910",4,7,7,5,6,6,2,0,1,2,5,5,1,4,3,2,2,1,2,3,4,3,4,4,7,8,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8
"911",4,7,6,2,0,0,0,0,0,0,2,4,1,4,2,2,2,1,2,3,4,3,4,4,7,8,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
"912",4,7,5,1,1,4,2,0,1,1,5,4,1,4,1,2,2,1,2,3,4,3,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,9
"913",4,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,9,8,8,7,5,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"914",4,7,6,6,4,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,9,7,8,7,5,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"915",0,2,5,7,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,9,7,8,7,5,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
"916",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,9,8,8,7,5,6,5,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,8
"920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,9,8,8,7,5,6,5,7,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4
"921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,9,8,8,6,5,6,5,7,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4
"922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,9,8,8,6,5,5,5,6,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4
"923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,9,8,8,7,5,6,5,6,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
