"","grp","var1","var2","vcov","sdcor"
"1","DOY","(Intercept)",NA,1.65744101426413,1.28741641059299
"2","Station","(Intercept)",NA,0.461421152015044,0.679279877528434
"3","Year","(Intercept)",NA,4.6363919551016,2.15322826358508
"4","Residual",NA,NA,3.20494359659834,1.79023562599965
