"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.65456625048042,0.915215982724098,4.97155522164633,6.17839543585097,0.00165197736189763
"Temp",1.46145364027875,0.167435617639925,82.833116396342,8.72845133477903,2.31675967095052e-13
"X2s",1.01839008024078,0.242246140927542,118.754277676196,4.20394758959395,5.10925071630925e-05
