"(Intercept)","CVPSWPs","OUTms","Outs","SACms","SACs","SJRms","SJRs","Temp","X2s","df","logLik","BIC","delta","weight"
5.90571390828638,-2.54927472166592,NA,-1.75133425725477,-1.6751762419365,5.32395845452992,0.808329424761666,NA,0.75292322861961,2.20330707606188,11,-808.948720664349,1683.35450940716,0,0.243933983027589
5.66777994090128,-2.65323419530766,NA,-1.79471981990378,-1.84213300978149,5.58791278461252,0.932881442312083,NA,NA,2.20927370045329,10,-812.577276905246,1684.66097933637,1.3064699292072,0.126933415645797
5.79640430536288,-2.5481271498357,1.191043009538,-1.78284016596892,-2.10693579685775,5.3284871382575,NA,NA,0.731140120148643,2.22457250436014,11,-809.805932568973,1685.06893321641,1.71442380924805,0.103511811058151
6.14435239691531,-2.43884427788331,-2.76945300026273,-1.55289091036077,NA,4.98368373717763,2.22346236629243,NA,0.881660534891697,2.52451880105193,11,-809.987571950566,1685.4322119796,2.07770257243419,0.0863187069495125
5.71225553858354,-1.98971158677862,NA,-1.3889135923678,-1.51407043556373,4.38048376138702,0.909389340151711,-1.15863308217596,0.914638046771009,2.09606180882488,12,-807.123344304839,1685.65439924073,2.2998898335677,0.0772427229880454
5.54598440732432,-2.6606395376078,1.45295172117906,-1.84528634163398,-2.43570516773697,5.62221579862371,NA,NA,NA,2.20701309243558,10,-813.103968572523,1685.71436267092,2.35985326376067,0.0749612261691302
5.89329629675862,-2.33614413416092,NA,-1.51327053504739,-0.661743565563673,4.70133549758753,NA,NA,0.886967999559107,2.60976169173748,10,-813.151142613905,1685.80871075369,2.45420134652522,0.0715071149157136
5.91218767924527,-1.85060035924993,-2.52050665533208,-1.18475229638034,NA,4.01023004167684,2.21719003983651,-1.2449486646266,1.03261093259727,2.36278677566564,12,-807.853949750184,1687.11561013142,3.76110072425831,0.0372014323731868
5.59171520960684,-1.68886279415207,NA,-1.1069253810714,NA,3.63713842649444,NA,-1.37571837468561,1.0200596996812,3.03809173731486,10,-814.075953106123,1687.65833173812,4.30382233096134,0.0283601917192943
5.59911078716923,-2.02035267480611,1.34056537648092,-1.44600612270034,-2.0169712660205,4.4413743437585,NA,-1.09672629950222,0.879486413638539,2.12102713390964,12,-808.170243411081,1687.74819745321,4.39368804605238,0.0271140923135429
5.97783431088808,-2.52822764673587,-0.794917974302676,-1.70577937969405,-1.28370548792047,5.25766844052731,1.26608601016099,NA,0.782078307226471,2.23206289211355,12,-808.803097570982,1689.01390577302,5.65939636585517,0.0143995858304633
5.79120636302659,-2.42708804665834,NA,-1.62780945140902,NA,4.9647593335482,NA,NA,0.817849374087476,3.62213295258453,9,-817.871064890341,1689.29791275397,5.94340334680919,0.0124933431433002
5.54514823503446,-2.38215568286633,NA,-1.61578020405219,-1.77264846427066,5.14161611039944,0.994535938574074,-0.581732182076133,NA,2.16477377320683,11,-812.080010600585,1689.61708927963,6.26257987247277,0.0106505090707785
5.4182786999256,-0.850602640621064,NA,NA,NA,2.07886372359307,NA,-2.05172315532928,1.12043138187146,3.31365551610349,9,-818.039991393072,1689.63576575943,6.28125635227047,0.0105515149966156
5.85918884256468,-2.54315521863292,-2.81645053679639,-1.58361619709753,NA,5.25222216519296,2.30223359491115,NA,NA,2.66975825698326,10,-815.171609882321,1689.84964529052,6.49513588335822,0.00948137820186089
