"(Intercept)","CVPSWPs","OUTms","Outs","SACms","SACs","SJRms","SJRs","Temp","X2s","df","logLik","BIC","delta","weight"
5.28953179142155,NA,NA,-0.630698952317028,NA,NA,NA,-4.64194546106074,1.71641748386813,NA,7,-847.46967340438,1736.59384467687,0,0.813869157533027
5.32575571064276,-0.230286564835345,NA,-0.579588999432605,NA,NA,NA,-4.44007191125324,1.71711150413017,NA,8,-846.473371657959,1740.55188373662,3.95803905974685,0.112480523597336
5.27388390089,NA,NA,NA,NA,-0.504110802375006,NA,-4.89697515688887,1.76593817705139,NA,7,-850.644657346517,1742.94381256115,6.34996788427429,0.0340154784929445
5.28244204034543,NA,NA,NA,NA,NA,NA,-5.1760156479867,1.71806684625696,NA,6,-853.841063093285,1743.3859815021,6.79213682522186,0.0272684730177242
5.33928213574441,-0.342336761718784,NA,NA,NA,NA,NA,-4.81506348396301,1.71715473253,NA,7,-851.656504184487,1744.96750623709,8.3736615602138,0.0123662233530953
6.17038564620138,-0.504951491376762,NA,NA,-1.836192850577,NA,NA,NA,1.73577321218859,NA,7,-863.837784840854,1769.33006754982,32.7362228729487,6.33831931761296e-08
4.75679976602366,NA,NA,-0.580365385718221,NA,NA,NA,-4.665642269882,NA,NA,6,-867.40054049313,1770.50493630179,33.9110916249133,3.52252923924526e-08
5.58233601181251,NA,NA,NA,NA,NA,NA,NA,1.25500293092802,3.60517764795925,6,-867.812632867348,1771.32912105022,34.7352763733488,2.33284112392819e-08
4.81005274201511,-0.283478314297472,NA,-0.526918112270341,NA,NA,NA,-4.42567626617781,NA,NA,7,-866.126452793428,1773.90740345497,37.3135587780953,6.42714727946798e-09
6.19195450593144,NA,NA,NA,-2.06366864377318,NA,NA,NA,1.71532312290515,NA,6,-869.338077362799,1774.38001004112,37.7861653642501,5.07449741648912e-09
4.74456787981245,NA,NA,NA,NA,NA,NA,-5.1435393742272,NA,NA,5,-872.457290526687,1774.66779381631,38.073949139439,4.39442020615473e-09
4.81664492472425,-0.378480497889756,NA,NA,NA,NA,NA,-4.76614218506389,NA,NA,6,-870.162372573066,1776.02860046166,39.4347557847836,2.22539021667804e-09
4.73529085511552,NA,NA,NA,NA,-0.440311732206369,NA,-4.92042153972762,NA,NA,6,-870.407001539265,1776.51785839406,39.9240137171817,1.74246941707926e-09
5.60120186135617,-0.140889072654529,NA,NA,NA,NA,NA,NA,1.25112492334692,3.47686278821595,7,-867.51020588575,1776.67490963961,40.0810649627404,1.6108752898266e-09
6.20549205170536,NA,NA,NA,-2.10093960772013,0.104952737725294,NA,NA,1.7024788904309,NA,7,-869.217456009601,1780.08940988732,43.4955652104416,2.92154521253796e-10
6.32094872608396,-0.744701088020496,-1.60814467896136,NA,NA,NA,NA,NA,1.76141798291425,NA,7,-869.550218495974,1780.75493486006,44.1610901831878,2.09457396000791e-10
5.19146000641093,NA,NA,NA,NA,NA,NA,NA,NA,3.7384383881784,5,-876.669242727405,1783.09169821775,46.4978535408745,6.51139413715743e-11
6.28972176401764,-0.710251841064893,-1.54432222067806,-0.185838369658447,NA,NA,NA,NA,1.75775296102294,NA,8,-869.164161387777,1785.93346319626,49.3396185193824,1.57250689954721e-11
5.22059943094371,-0.18722487197951,NA,NA,NA,NA,NA,NA,NA,3.5685099043647,6,-876.165686114426,1788.03522754438,51.4413828675051,5.49794296625313e-12
5.56458838056884,-0.533409749583249,NA,NA,-1.91267683358201,NA,NA,NA,NA,NA,6,-876.224307319205,1788.15246995394,51.5586252770615,5.18491169856965e-12
5.52704992867578,NA,NA,NA,-2.1670961921296,NA,NA,NA,NA,NA,5,-881.116398276149,1791.98600931524,55.3921646383621,7.62603631719605e-13
5.55707264686421,NA,NA,NA,-2.34162110554088,0.487861092691591,NA,NA,NA,NA,6,-879.26254573205,1794.22894677963,57.6351021027529,2.48456971469361e-13
6.38247437953781,NA,-1.86445918902434,NA,NA,NA,NA,NA,1.7354679517878,NA,6,-881.962044869157,1799.62794505384,63.034100376967,1.67060435035228e-14
6.30258817235865,NA,-1.68796617176045,-0.437250324891841,NA,NA,NA,NA,1.72954892595255,NA,7,-879.793924415029,1801.24234669817,64.6485020212972,7.45265033081912e-15
6.31663256439802,NA,-1.75966054466311,NA,NA,-0.409033915258732,NA,NA,1.78469046750959,NA,7,-880.009169315102,1801.67283649832,65.0789918214432,6.00939944836856e-15
5.74570087480705,-0.853197659368269,-1.61819530241874,NA,NA,NA,NA,NA,NA,NA,6,-884.92494923739,1805.55375379031,68.9599091134319,8.63178452381597e-16
6.17498719204535,-0.925663227825999,NA,NA,NA,NA,-1.49447096421261,NA,1.75477274134884,NA,7,-882.483677611923,1806.62185309196,70.0280084150863,5.06017776613989e-16
6.10910608567525,-0.81400178101277,NA,-0.480757784404047,NA,NA,-1.34889514674308,NA,1.74585103947501,NA,8,-879.836971054479,1807.27908252966,70.6852378527858,3.64292487284071e-16
5.73268749738531,-0.837436835657536,-1.58199597868409,-0.0980602414189143,NA,NA,NA,NA,NA,NA,7,-884.82519416178,1811.30488619167,74.7110415148002,4.86696314048101e-17
5.73240717405072,NA,-1.9019563078836,NA,NA,NA,NA,NA,NA,NA,5,-897.525544644094,1824.80430205113,88.2104573742533,5.70029259924086e-20
6.10622775765257,NA,NA,-0.809348703581221,NA,NA,-1.4742370673491,NA,1.71141014954133,NA,7,-893.047015464579,1827.74852879727,91.1546841203988,1.30787558976199e-20
5.69212456279484,NA,-1.77309602306418,-0.310916398113395,NA,NA,NA,NA,NA,NA,6,-896.528000480803,1828.75985627713,92.166011600259,7.88786487509517e-21
5.70446010548141,NA,-1.8365610440484,NA,NA,-0.26512340609769,NA,NA,NA,NA,6,-896.943107586893,1829.59007048931,92.9962258124383,5.20811705485713e-21
5.65110974492776,-1.08889512388244,NA,NA,NA,NA,-1.47146055643526,NA,NA,NA,6,-897.000125706736,1829.704106729,93.110262052124,4.91946734180201e-21
6.12173513256752,NA,NA,NA,NA,-0.741536674732842,-1.61391695680136,NA,1.81115942437004,NA,7,-894.52367720471,1830.70185227753,94.1080076006601,2.98717309353995e-21
5.60257073255599,-0.992591865442074,NA,-0.427561040804205,NA,NA,-1.33720924204189,NA,NA,NA,7,-895.015919037889,1831.68633594389,95.0924912670182,1.8259230743622e-21
6.22807896970472,NA,NA,NA,NA,NA,-1.76933607435363,NA,1.71862291159795,NA,6,-900.728104179382,1837.16006367429,100.566218997416,1.18270818532341e-22
5.54276217127154,NA,NA,-0.745300903213759,NA,NA,-1.49996164801882,NA,NA,NA,6,-910.656232481656,1857.01632027884,120.422475601965,5.76960744162897e-27
