(Intercept),CVP+SWP exports,Spring Inflow (Sac+San Joaquin),Sacramento Inflow,San Joaquin Inflow,Water Temperature,Spring Sacramento River Flow,Spring San Joaquin River Flow,X2,df,logLik,BIC,DeltaBIC
5.964,-1.819,NA,NA,NA,1.715,NA,NA,NA,5.000,-1040.202,2110.606,219.661
5.981,-0.733,-1.900,0.243,NA,NA,NA,NA,NA,6.000,-1037.802,2111.845,220.900
5.983,NA,-2.056,-0.205,NA,NA,NA,NA,NA,5.000,-1042.506,2115.213,224.268
5.968,-0.656,NA,NA,-0.971,NA,NA,-1.113,NA,6.000,-1041.282,2118.805,227.861
5.999,NA,NA,NA,-1.159,NA,NA,-1.217,NA,5.000,-1047.085,2124.370,233.426
5.994,NA,NA,-1.612,NA,1.876,NA,NA,NA,5.000,-1048.735,2127.671,236.726
6.008,NA,NA,0.215,-1.310,NA,NA,-1.199,NA,6.000,-1046.643,2129.527,238.582
5.991,-1.809,NA,1.732,-2.363,NA,NA,NA,NA,6.000,-1047.743,2131.728,240.783
5.967,-0.973,NA,NA,NA,NA,NA,-1.499,NA,5.000,-1054.660,2139.521,248.577
5.967,-0.904,NA,-0.096,NA,NA,NA,-1.495,NA,6.000,-1054.574,2145.390,254.446
5.981,NA,NA,-0.645,NA,NA,NA,-1.625,NA,5.000,-1060.956,2152.113,261.168
6.010,NA,NA,NA,NA,NA,NA,-1.791,NA,4.000,-1067.641,2159.444,268.499
5.973,-0.946,NA,NA,-1.569,NA,NA,NA,NA,5.000,-1065.308,2160.817,269.872
6.033,NA,NA,NA,-1.933,NA,NA,NA,NA,4.000,-1076.447,2177.054,286.110
6.053,NA,NA,0.401,-2.195,NA,NA,NA,NA,5.000,-1075.050,2180.300,289.356
6.108,NA,NA,NA,NA,1.634,NA,NA,NA,4.000,-1095.766,2215.693,324.748
5.965,-1.807,NA,NA,NA,NA,NA,NA,NA,4.000,-1103.188,2230.536,339.592
5.963,-1.597,NA,-0.282,NA,NA,NA,NA,NA,5.000,-1102.582,2235.365,344.421
6.011,NA,NA,-1.325,NA,NA,NA,NA,NA,4.000,-1119.076,2262.314,371.369
6.107,NA,NA,NA,NA,NA,NA,NA,NA,3.000,-1142.984,2304.088,413.144
