"","grp","var1","var2","vcov","sdcor"
"1","DOY","(Intercept)",NA,1.54180371032804,1.24169388752947
"2","Station","(Intercept)",NA,0.535624822806934,0.731863937359216
"3","Year","(Intercept)",NA,3.62133240494163,1.90297987507531
"4","Residual",NA,NA,3.14782096796037,1.77420995599742
