"","grp","var1","var2","vcov","sdcor"
"1","Station","(Intercept)",NA,0.610726131293048,0.781489687259562
"2","Month","(Intercept)",NA,0.242621459932769,0.49256619852845
"3","Residual",NA,NA,4.35617129704059,2.08714429233836
