"","grp","var1","var2","vcov","sdcor"
"1","Station","(Intercept)",NA,0.667579332539994,0.817055281201948
"2","Month","(Intercept)",NA,0.00602983991721846,0.0776520438701935
"3","Year","(Intercept)",NA,1.72137368330464,1.31201131218623
"4","Residual",NA,NA,3.77622111124246,1.94325014119193
