"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.63690072082101,0.526009188840826,5.51345260294162,10.7163540873556,6.72550252820133e-05
"CVPSWPs",-0.71533516642463,0.183233317483401,30.7079488884876,-3.90395794962033,0.000482417388231448
"SACms",-0.679071348265158,0.40806561581012,4.81821647097681,-1.6641229301249,0.15917509788442
"SJRs",-2.92354322626177,0.443006917202185,79.2396709157552,-6.59931733058581,4.26918681436543e-09
"Temp",1.83871155652635,0.10322543223855,5.44568419335987,17.812582777829,4.89497008363856e-06
