(Intercept),CVPSWPs,INms,SACs,SJRs,Temp,SACms,SJRms,X2s,df,logLik,BIC,Delta
5.9458475,NA,NA,NA,NA,NA,NA,NA,2.604193378,4,-1036.507983,2097.176985,206.2324159
5.943316504,-0.416430073,NA,NA,NA,NA,NA,NA,2.377730757,5,-1034.153944,2098.509162,207.564593
5.98965486,NA,NA,NA,NA,NA,-2.21838721,NA,NA,4,-1037.792447,2099.745912,208.8013434
5.984877111,-0.439038998,NA,NA,NA,NA,-1.977435681,NA,NA,5,-1034.997551,2100.196375,209.2518061
5.986169585,-0.689901844,NA,0.389350507,NA,NA,-2.042617761,NA,NA,6,-1033.529175,2103.299878,212.3553092
5.959991032,-1.246853893,NA,-0.756792681,NA,1.800543001,NA,NA,NA,6,-1034.329745,2104.901018,213.956449
5.989411003,NA,NA,-0.023604111,NA,NA,-2.206088986,NA,NA,5,-1037.783808,2105.76889,214.8243211
5.980210045,-0.569225281,-1.867467033,NA,NA,NA,NA,NA,NA,5,-1038.372235,2106.945743,216.0011739
5.979150227,-1.33014814,NA,1.241477591,-1.655274252,NA,NA,-0.899313474,NA,7,-1032.433956,2107.149695,216.2051257
5.985080782,NA,-2.140916638,NA,NA,NA,NA,NA,NA,4,-1043.168014,2110.497047,219.5524779
5.963834476,-1.819447655,NA,NA,NA,1.715460851,NA,NA,NA,5,-1040.202231,2110.605735,219.6611663
5.98080499,-0.732948701,-1.899631123,0.242547493,NA,NA,NA,NA,NA,6,-1037.8015,2111.844528,220.8999589
5.983108946,NA,-2.055674612,-0.20475508,NA,NA,NA,NA,NA,5,-1042.505758,2115.21279,224.2682209
5.968417447,-0.656246645,NA,NA,-0.97147484,NA,NA,-1.113011138,NA,6,-1041.281772,2118.805072,227.8605031
5.998800764,NA,NA,NA,-1.158634838,NA,NA,-1.217378087,NA,5,-1047.084524,2124.370322,233.4257537
5.993606358,NA,NA,-1.612258,NA,1.875854881,NA,NA,NA,5,-1048.734843,2127.67096,236.7263916
6.008089748,NA,NA,0.215292533,-1.310356086,NA,NA,-1.19859147,NA,6,-1046.642766,2129.52706,238.5824914
5.990741048,-1.809137105,NA,1.732305599,-2.363261167,NA,NA,NA,NA,6,-1047.743139,2131.727807,240.7832382
5.966922877,-0.97306139,NA,NA,NA,NA,NA,-1.49920331,NA,5,-1054.660036,2139.521346,248.5767771
