"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-4.08760826098434,0.76999078995006,-5.30864565438432,1.10442808225499e-07
"2","fixed",NA,"Temp",1.12780332716659,0.0689906013944228,16.3472024358634,4.55413680363749e-60
"3","fixed",NA,"Month",0.41878907621443,0.0409367675476416,10.2301452044803,1.45301352922315e-24
"4","fixed",NA,"logres",-0.0138135605812809,0.0862019501414166,-0.160246497424007,0.872686902975094
"5","fixed",NA,"Sal",-0.578486833788136,0.131128750666561,-4.41159418394166,1.02612301215343e-05
"6","ran_pars","Region","sd__(Intercept)",1.5499094528704,NA,NA,NA
"7","ran_pars","Year2","sd__(Intercept)",1.32989088554708,NA,NA,NA
