"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.48697435473207,0.590962603429632,6.25139196685643,9.2848080790368,6.9362433895052e-05
"CVPSWPs",-0.742628515588118,0.184184866184145,30.7698654858124,-4.03197358704624,0.00033764623288479
"SJRs",-3.06030743343834,0.431169137938453,75.4063939034038,-7.09769592524774,5.94561091949106e-10
"Temp",1.8427145807199,0.103071084039137,5.7326129001294,17.8780945004926,3.01469784765811e-06
