"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.53640982118384,0.323414870031646,8.7734036353666,17.1186000836699,4.81610080254027e-08
"SACms",-0.906095364729747,0.183641599310151,349.820833021463,-4.93404200428166,1.24809914946566e-06
"SJRs",-3.52135684931338,0.441918230942977,343.653357674989,-7.96834482659702,2.39137280939347e-14
"Temp",1.64424578906869,0.174695461178451,8.50350307636941,9.41206931180137,8.78706606959224e-06
