"(Intercept)","CVPSWPs","OUTms","Outs","SACms","SACs","SJRms","SJRs","Temp","X2s","df","logLik","BIC","delta","weight"
5.48952692833209,-0.748933613331092,NA,NA,NA,NA,NA,-3.07144137164073,1.84287790538871,NA,8,-819.76889047756,1687.14292137582,0,0.892718050599824
5.18467749838959,NA,NA,NA,NA,NA,NA,-4.05712470285349,1.73373031457231,NA,7,-825.548068685246,1692.75063523861,5.6077138627827,0.0540772655185531
5.49552076724551,-0.762786352456877,NA,0.0543828290384204,NA,NA,NA,-3.04986483021182,1.84489542701924,NA,9,-819.731021162743,1693.01782529877,5.87490392295194,0.0473145962521953
5.20900431863202,NA,NA,NA,NA,-0.134304763787914,NA,-4.05012402959445,1.7715325122118,NA,8,-825.446357931734,1698.49785628417,11.3549349083466,0.00305507256143323
5.18836590674879,NA,NA,-0.0482582610596847,NA,NA,NA,-4.06287582774366,1.73769337025104,NA,8,-825.521283506867,1698.64770743444,11.5047860586121,0.00283453462114356
4.53638904390846,NA,NA,NA,NA,NA,NA,-3.88099664919839,NA,NA,6,-840.585284493662,1716.87442430285,29.7315029270273,3.1232049641346e-07
4.50374842631066,NA,NA,NA,NA,0.488864991159106,NA,-3.84813558317217,NA,NA,7,-839.058301800299,1719.77110146871,32.6281800928889,7.33829272455928e-08
4.66423372683196,-0.360942156998312,NA,NA,NA,NA,NA,-3.46224180010181,NA,NA,7,-839.301943940778,1720.25838574967,33.1154643738469,5.75151947406168e-08
4.53058553298802,NA,NA,0.147131916197314,NA,NA,NA,-3.85114058965673,NA,NA,7,-840.345526389834,1722.34555064778,35.2026292719584,2.0256317499788e-08
4.66776529109617,-0.391198770007282,NA,0.19685039555332,NA,NA,NA,-3.38636195247391,NA,NA,8,-838.876846977574,1725.35883437585,38.215913000028,4.48987497503075e-09
6.30262686162499,-1.23190379012397,-1.36067444149793,NA,NA,NA,NA,NA,1.87313392956857,NA,8,-839.10671655385,1725.8185735284,38.6756521525792,3.56782183696898e-09
6.22388666285281,-1.21774334546816,NA,NA,-1.43156509078431,NA,NA,NA,1.87108636461251,NA,8,-839.228048382484,1726.06123718567,38.9183158098465,3.16016250292378e-09
5.94135971039277,-1.30784675259818,NA,NA,NA,NA,NA,NA,1.88407672304375,NA,7,-842.462506319033,1726.57951050618,39.436589130358,2.43875287295049e-09
6.13543351013753,-1.25516767971259,NA,NA,NA,NA,-1.32092485656985,NA,1.87588401538401,NA,8,-839.641629961605,1726.88840034391,39.745478968088,2.08974463046654e-09
6.34900988218107,-1.28678949427972,-1.46671226514531,0.309912817450192,NA,NA,NA,NA,1.88249675703407,NA,9,-837.953007591715,1729.46179815672,42.3188767808961,5.7714771832793e-10
5.95473378060672,-1.35713028200069,NA,0.288493899432086,NA,NA,NA,NA,1.89172823269653,NA,8,-841.471967812277,1730.54907604526,43.4061546694322,3.35110155593449e-10
6.16636122591614,-1.3084267096266,NA,0.299774173307092,NA,NA,-1.41599500306414,NA,1.88503442585486,NA,9,-838.563968778568,1730.68372053043,43.5407991546022,3.13292436997531e-10
